country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,marketing_auth_holder,shortage_start,estimated_end,status,reason,notes,scraped_at,atc_code,prk
CA,Canada,Health Canada Tier 3,,Dacarbazine for Injection,,,,,2026-09-14,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.668896,L01AX01,
CA,Canada,Health Canada Tier 3,,Raltitrexed,,,,,2026-08-25,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.668928,L01BA03,
CA,Canada,Health Canada Tier 3,,Tetrasodium pyrophosphate,,,,,2026-08-13,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.668939,,
CA,Canada,Health Canada Tier 3,,Medronic acid,,,,,2026-08-13,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.668948,M05BA06,
CA,Canada,Health Canada Tier 3,,Bupivacaine with Dextrose,,,,,2026-08-12,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.668958,N01BB01,
CA,Canada,Health Canada Tier 3,,MAA (Albumin),,,,,2026-08-07,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.668969,,
CA,Canada,Health Canada Tier 3,,"Gluceptate (Calcium Glucoheptonate, Stannous Chloride Dihydrate)",,,,,2026-08-07,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.668977,,
CA,Canada,Health Canada Tier 3,,Etoposide 50mg capsules,,,,,2026-08-05,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.668985,L01CB01,
CA,Canada,Health Canada Tier 3,,Dextrose 50% Injection,,,,,2026-07-16,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.668993,,
CA,Canada,Health Canada Tier 3,,Aprepitant Oral Capsules,,,,,2026-07-15,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669001,A04AD12,
CA,Canada,Health Canada Tier 3,,Mesna for Injection (preservative-free),,,,,2026-06-22,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669010,V03AF01,
CA,Canada,Health Canada Tier 3,,Calcitriol Injection,,,,,2026-06-22,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669018,A11CC04,
CA,Canada,Health Canada Tier 3,,Dexamethasone 4mg/ML Injection,,,,,2026-06-24,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669026,,
CA,Canada,Health Canada Tier 3,,Aminophylline Injection,,,,,2026-06-05,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669034,R03DA05,
CA,Canada,Health Canada Tier 3,,Calcitonin,,,,,2026-05-15,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669041,H05BA01,
CA,Canada,Health Canada Tier 3,,Famotidine Injection,,,,,2025-04-29,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669049,A02BA03,
CA,Canada,Health Canada Tier 3,,Verteporfin for Injection,,,,,2025-09-25,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669057,S01LA01,
CA,Canada,Health Canada Tier 3,,Cefazolin in Dextrose Injection - Ready to Use Bags,,,,,2025-05-30,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669066,J01DB04,
CA,Canada,Health Canada Tier 3,,Disopyramide,,,,,2025-05-22,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669074,C01BA03,
CA,Canada,Health Canada Tier 3,,Peginterferon Alfa-2A,,,,,2024-11-25,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669083,L03AB11,
CA,Canada,Health Canada Tier 3,,Lomustine,,,,,2024-08-06,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669091,L01AD02,
CA,Canada,Health Canada Tier 3,,"Glucagon for Injection, rDNA origin",,,,,2023-04-20,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669099,,
CA,Canada,Health Canada Tier 3,,Apomorphine Hydrochloride,,,,,2023-11-14,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669107,G04BE07,
CA,Canada,Health Canada Tier 3,,Bicillin L-A (Penicillin G benzathine),,,,,2025-12-15,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669115,J01CE01,
CA,Canada,Health Canada Tier 3,,Cyclophosphamide for Injection,,,,,2026-02-20,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669123,L01AA01,
CA,Canada,Health Canada Tier 3,,Ifosfamide Injection,,,,,2025-12-19,,shortage,No,Tier 3: tekort met de grootste verwachte impact,2026-09-23T20:51:20.669130,L01AA03,
